"Date (yyyy-mm-dd)","Downloads App Store (iOS) (daily)","Downloads Play Store (Android) (daily)","Downloads Huawei App Gallery (Android) (daily)","Total downloads (daily)","Total downloads (cumulative)"
2020-08-16,0,40484,,40484,40484
2020-08-17,268000,172882,,440882,481366
2020-08-18,142000,120713,,262713,744079
2020-08-19,34000,29563,,63563,807642
2020-08-20,15000,19594,,34594,842236
2020-08-21,44900,42027,,86927,929163
2020-08-22,17200,16476,,33676,962839
2020-08-23,10700,11254,,21954,984793
2020-08-24,7500,8348,,15848,1000641
2020-08-25,15700,11638,,27338,1027979
2020-08-26,8000,8278,,16278,1044257
2020-08-27,6000,6539,,12539,1056796
2020-08-28,5940,6363,,12303,1069099
2020-08-29,4480,4569,,9049,1078148
2020-08-30,4580,4534,,9114,1087262
2020-08-31,9000,7656,,16656,1103918
2020-09-01,4950,5329,,10279,1114197
2020-09-02,4050,4367,,8417,1122614
2020-09-03,3000,3162,,6162,1128776
2020-09-04,2370,2348,,4718,1133494
2020-09-05,2190,2366,,4556,1138050
2020-09-06,2010,2282,,4292,1142342
2020-09-07,2080,2216,,4296,1146638
2020-09-08,2030,3219,,5249,1151887
2020-09-09,14800,4223,,19023,1170910
2020-09-10,3690,2549,,6239,1177149
2020-09-11,4160,2175,,6335,1183484
2020-09-12,2690,2580,,5270,1188754
2020-09-13,5680,2853,,8533,1197287
2020-09-14,4070,2462,,6532,1203819
2020-09-15,2420,2172,,4592,1208411
2020-09-16,3510,2273,,5783,1214194
2020-09-17,4060,2381,,6441,1220635
2020-09-18,3920,4967,,8887,1229522
2020-09-19,3350,2401,,5751,1235273
2020-09-20,3250,1991,,5241,1240514
2020-09-21,3000,2026,,5026,1245540
2020-09-22,2450,2319,,4769,1250309
2020-09-23,2330,2338,,4668,1254977
2020-09-24,4390,5986,,10376,1265353
2020-09-25,3370,3743,,7113,1272466
2020-09-26,1830,2400,,4230,1276696
2020-09-27,2000,2542,,4542,1281238
2020-09-28,2900,3316,,6216,1287454
2020-09-29,3080,4002,,7082,1294536
2020-09-30,3370,5672,,9042,1303578
2020-10-01,2780,3528,,6308,1309886
2020-10-02,1520,2989,,4509,1314395
2020-10-03,2070,2627,,4697,1319092
2020-10-04,1900,2354,,4254,1323346
2020-10-05,2050,3287,,5337,1328683
2020-10-06,38300,50211,6187,94698,1423381
2020-10-07,19380,20322,125,39827,1463208
2020-10-08,15600,15661,109,31370,1494578
2020-10-09,23400,27165,158,50723,1545301
2020-10-10,313000,399028,3160,715188,2260489
2020-10-11,160000,228356,1221,389577,2650066
2020-10-12,110000,112313,290,222603,2872669
2020-10-13,40000,71236,128,111364,2984033
2020-10-14,40000,61697,98,101795,3085828
2020-10-15,30000,53583,143,83726,3169554
2020-10-16,20000,32920,81,53001,3222555
2020-10-17,10000,23164,80,33244,3255799
2020-10-18,20000,24046,101,44147,3299946
2020-10-19,20000,28679,129,48808,3348754
2020-10-20,20000,22602,95,42697,3391451
2020-10-21,20000,24929,103,45032,3436483
2020-10-22,20000,17491,94,37585,3474068
2020-10-23,10000,16069,87,26156,3500224
2020-10-24,10000,17211,85,27296,3527520
2020-10-25,10000,17995,87,28082,3555602
2020-10-26,20000,29670,97,49767,3605369
2020-10-27,30000,28806,101,58907,3664276
2020-10-28,10000,13295,89,23384,3687660
2020-10-29,20000,29795,152,49947,3737607
2020-10-30,10000,13865,93,23958,3761565
2020-10-31,0,11624,86,11710,3773275
2020-11-01,10000,12274,114,22388,3795663
2020-11-02,20000,11521,91,31612,3827275
2020-11-03,10000,10213,103,20316,3847591
2020-11-04,10000,8272,75,18347,3865938
2020-11-05,10000,8161,58,18219,3884157
2020-11-06,3930,8236,50,12216,3896373
2020-11-07,3640,7134,51,10825,3907198
2020-11-08,5030,8195,63,13288,3920486
2020-11-09,3120,5266,55,8441,3928927
2020-11-10,2480,5141,50,7671,3936598
2020-11-11,4040,5895,44,9979,3946577
2020-11-12,2540,5215,54,7809,3954386
2020-11-13,2130,4777,48,6955,3961341
2020-11-14,2080,4880,54,7014,3968355
2020-11-15,2270,4327,53,6650,3975005
2020-11-16,2540,4764,64,7368,3982373
2020-11-17,14800,17780,89,32669,4015042
2020-11-18,5650,8596,72,14318,4029360
2020-11-19,3770,6414,53,10237,4039597
2020-11-20,3440,5911,42,9393,4048990
2020-11-21,2330,6252,20,8602,4057592
2020-11-22,2360,4897,22,7279,4064871
2020-11-23,2320,5084,18,7422,4072293
2020-11-24,2090,4630,18,6738,4079031
2020-11-25,2270,5169,19,7458,4086489
2020-11-26,1960,5230,27,7217,4093706
2020-11-27,1990,5797,21,7808,4101514
2020-11-28,1950,5903,14,7867,4109381
2020-11-29,2120,4743,11,6874,4116255
2020-11-30,2390,5397,21,7808,4124063
2020-12-01,14200,6392,102,20694,4144757
2020-12-02,2540,5482,25,8047,4152804
2020-12-03,2240,4882,31,7153,4159957
2020-12-04,1950,4982,28,6960,4166917
2020-12-05,1870,4730,21,6621,4173538
2020-12-06,2290,4426,24,6740,4180278
2020-12-07,2850,4879,16,7745,4188023
2020-12-08,3100,6194,22,9316,4197339
2020-12-09,2820,5721,22,8563,4205902
2020-12-10,2620,5706,19,8345,4214247
2020-12-11,2270,5849,19,8138,4222385
2020-12-12,2460,5325,18,7803,4230188
2020-12-13,2790,5442,21,8253,4238441
2020-12-14,3140,6031,25,9196,4247637
2020-12-15,2680,5072,14,7766,4255403
2020-12-16,2520,5490,20,8030,4263433
2020-12-17,2140,7926,14,10080,4273513
2020-12-18,1860,7080,20,8960,4282473
2020-12-19,1900,7159,9,9068,4291541
2020-12-20,2370,6562,11,8943,4300484
2020-12-21,2530,7375,16,9921,4310405
2020-12-22,3450,7574,14,11038,4321443
2020-12-23,1750,7062,9,8821,4330264
2020-12-24,1480,6590,5,8075,4338339
2020-12-25,1510,7175,8,8693,4347032
2020-12-26,1600,6990,7,8597,4355629
2020-12-27,1570,6769,6,8345,4363974
2020-12-28,1920,7068,11,8999,4372973
2020-12-29,1660,8335,12,10007,4382980
2020-12-30,2332,8474,15,10821,4393801
2020-12-31,1280,5064,10,6354,4400155
2021-01-01,1070,1896,12,2978,4403133
2021-01-02,1140,2308,6,3454,4406587
2021-01-03,1230,2279,7,3516,4410103
2021-01-04,1350,2640,16,4006,4414109
2021-01-05,1340,2696,10,4046,4418155
2021-01-06,1390,3029,7,4426,4422581
2021-01-07,1120,2512,10,3642,4426223
2021-01-08,1030,2553,11,3594,4429817
2021-01-09,1010,2484,7,3501,4433318
2021-01-10,1000,2166,18,3184,4436502
2021-01-11,1030,2196,10,3236,4439738
2021-01-12,2350,3607,12,5969,4445707
2021-01-13,1819,3213,22,5054,4450761
2021-01-14,2180,3226,29,5435,4456196
2021-01-15,2170,3451,16,5637,4461833
2021-01-16,1070,3173,5,4248,4466081
2021-01-17,1020,2673,10,3703,4469784
2021-01-18,1150,3165,15,4330,4474114
2021-01-19,1220,3340,27,4587,4478701
2021-01-20,1150,3013,18,4181,4482882
2021-01-21,1340,3385,12,4737,4487619
2021-01-22,897,3283,11,4191,4491810
2021-01-23,869,3266,8,4143,4495953
2021-01-24,742,2737,11,3490,4499443
2021-01-25,775,2933,11,3719,4503162
2021-01-26,690,3425,20,4135,4507297
2021-01-27,704,3650,8,4362,4511659
2021-01-28,695,2968,7,3670,4515329
2021-01-29,595,4088,6,4689,4520018
2021-01-30,558,3532,5,4095,4524113
2021-01-31,532,2531,6,3069,4527182
2021-02-01,549,1913,6,2468,4529650
2021-02-02,628,2262,10,2900,4532550
2021-02-03,901,2607,4,3512,4536062
2021-02-04,737,2392,12,3141,4539203
2021-02-05,536,1995,5,2536,4541739
2021-02-06,528,2093,6,2627,4544366
2021-02-07,383,967,10,1360,4545726
2021-02-08,454,1158,3,1615,4547341
2021-02-09,427,1391,10,1828,4549169
2021-02-10,953,1863,7,2823,4551992
2021-02-11,438,1799,7,2244,4554236
2021-02-12,2400,1902,3,4305,4558541
